,Manufacturer
0,Acura,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Acura_logo.svg/960px-Acura_logo.svg.png
4,Audi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Audi-Logo_2016.svg/960px-Audi-Logo_2016.svg.png
7,BMW,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/BMW.svg/960px-BMW.svg.png
10,Buick,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Buick-logo.svg/960px-Buick-logo.svg.png
14,Cadillac,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Cadillac_Logo_2021.svg/960px-Cadillac_Logo_2021.svg.png
19,Chevrolet,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Chevrolet-logo.png/960px-Chevrolet-logo.png
28,Chrysler,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Chrysler_brand_logo_2026.svg/960px-Chrysler_brand_logo_2026.svg.png
35,Dodge,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Dodge_1962_logo.svg/960px-Dodge_1962_logo.svg.png
46,Ford,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Ford-Logo-Vector.svg/960px-Ford-Logo-Vector.svg.png
57,Honda,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Honda_auto_logo.svg/960px-Honda_auto_logo.svg.png
62,Hyundai,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Hyundai_symbol.svg/960px-Hyundai_symbol.svg.png
65,Infiniti,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Infiniti_logo_2023.svg/960px-Infiniti_logo_2023.svg.png
66,Jaguar,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Jaguar-cars-logo-svgrepo-com.svg/960px-Jaguar-cars-logo-svgrepo-com.svg.png
67,Jeep,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jeep_wordmark.svg/960px-Jeep_wordmark.svg.png
70,Lexus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Lexus-cars-logo-emblem.jpg/960px-Lexus-cars-logo-emblem.jpg
76,Lincoln,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lincoln_logo.svg/960px-Lincoln_logo.svg.png
79,Mitsubishi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Mitsubishi_logo.svg/960px-Mitsubishi_logo.svg.png
86,Mercury,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Mercury_1984_logo.svg/960px-Mercury_1984_logo.svg.png
92,Mercedes-B,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Mercedes-Benz_1949.svg/960px-Mercedes-Benz_1949.svg.png
101,Nissan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nissan_logo_2001.svg/960px-Nissan_logo_2001.svg.png
108,Oldsmobile,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Oldsmobile_logo_used_from_1981_until_1997.svg/960px-Oldsmobile_logo_used_from_1981_until_1997.svg.png
114,Plymouth,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/ChryPly_Blue_Pentastar.svg/960px-ChryPly_Blue_Pentastar.svg.png
118,Pontiac,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Pontiac_dart_emblem.svg/960px-Pontiac_dart_emblem.svg.png
124,Porsche,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Car_Quiz_Logo_PNGs.png/960px-Car_Quiz_Logo_PNGs.png
127,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Saab_wordmark_grey.svg/960px-Saab_wordmark_grey.svg.png
129,Saturn,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Saturn_corporation_logo.png/960px-Saturn_corporation_logo.png
134,Subaru,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Subaru_Logo_2024.svg/960px-Subaru_Logo_2024.svg.png
136,Toyota,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Toyota_black_logo.png/960px-Toyota_black_logo.png
145,Volkswagen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Volkswagen_Logo_till_1995.svg/960px-Volkswagen_Logo_till_1995.svg.png
151,Volvo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Volvo_Trucks_%26_Bus_logo.jpg/960px-Volvo_Trucks_%26_Bus_logo.jpg
